role,id,password,first_name,last_name
patient,P001,123,John,Smith
patient,P002,123,Emma,Johnson
patient,P003,123,Robert,Williams
patient,P004,123,Sarah,Brown
patient,P005,123,Michael,Davis
patient,P006,123,Linda,Miller
patient,P007,123,James,Wilson
patient,P008,123,Patricia,Moore
patient,P009,123,Christopher,Taylor
patient,P010,123,Elizabeth,Anderson
gp,C001,123,Dr. David,Thompson
gp,C002,123,Dr. Helen,Roberts
gp,C003,123,Dr. Mark,Davies
gp,C004,123,Dr. Susan,Clarke
specialist,C005,123,Dr. Richard,Evans
specialist,C006,123,Dr. Maria,Rodriguez
specialist,C007,123,Dr. Andrew,White
specialist,C008,123,Dr. Jennifer,Lee
specialist,C012,123,Dr. Paul,Harris
nurse,C009,123,Sister Mary,Kelly
nurse,C010,123,Nurse Jane,Phillips
nurse,C011,123,Nurse Robert,Green
staff,ST001,123,Michelle,Adams
staff,ST002,123,James,Wilson
staff,ST003,123,Carol,Smith
staff,ST004,123,Peter,Johnson
staff,ST005,123,Sandra,Brown
staff,ST006,123,Kevin,Davis
staff,ST007,123,Lisa,Miller
staff,ST008,123,Margaret,Taylor
staff,ST009,123,Robert,Anderson
staff,ST010,123,Helen,White
staff,ST011,123,David,Thompson
staff,ST012,123,Julie,Roberts
staff,ST013,123,Mark,Evans
staff,ST014,123,Susan,Clarke
staff,ST015,123,Andrew,Phillips
staff,ST016,123,Patricia,Green
admin,ADM001,123,System,Administrator
